tik_id,address,YEAR,Date construction begin - היתר תכנית חתומה - שלם ראשון,MINOR,MAJOR,distance,additional_year
10210,"יפו 21, גת רימון 6, גת רימון 4",1995,01/12/1995,0,,0,
10620,"יפו 62, העליה 2",1993,22/08/1993,3,,0,
20030,הרצל 3,1977,29/05/1977,2,,-,
20150,הרצל 15,1974,19/09/1974,,0,-,
30160,"נחלת בנימין 16, רמב""ם 11",1989,12/06/1989,2,,0,
30200,"נחלת בנימין 20, רבינוביץ שפ""ר 23",1981,28/08/1995,,0,0,
30330,נחלת בנימין 33,1995,19/02/1995,1,,0,
30380,"נחלת בנימין 38, מונטיפיורי 18",1991,07/08/1991,3,,0,
30450,"מונטיפיורי 17 א, מונטיפיורי 17, נחלת בנימין 45",1981,15/01/1981,0,,2,
30690,"נחלת בנימין 71, לילינבלום 37, נחלת בנימין 69",1990,17/12/1990,2,,-,
30730,"נחלת בנימין 73, לילינבלום 42",1991,30/10/1991,5,,0,
31550,נחלת בנימין 155,1995,18/12/1995,,1,0,
40010,"הירדן 4, הירקון 47, אלנבי 1, הירדן 6, , , , , ,",1992,29/11/1992,,0,1,
40100,"הירקון 45, אלנבי 10",1987,08/12/1987,6,,0,
40160,אלנבי 16,1986,12/09/1986,7,,0,
40220,"אלנבי 22, אלנבי 24",1988,22/01/1988,4,,3,
40350,"אלנבי 35, הס 2",1978,04/11/1978,1,,-,
40630,"אלנבי 63, בלפור 2",1993,20/05/1993,1,,-,
40640,אלנבי 64,1991,12/10/1991,8,,-,
40680,אלנבי 68,1983,11/11/1983,2,,1,
40750,אלנבי 75,1993,30/11/1993,2,,0,
40800,"רמב""ם 19, אלנבי 80",1978,30/07/1978,1,,-,
40820,"רמב""ם 28, רמב""ם 26, אלנבי 82",1986,06/10/1986,0,,0,
40920,"בית השואבה 2, אלנבי 92",1991,14/05/1991,8,,0,
40940,unk,1978,,0,,,
40950,אלנבי 95,1993,14/04/1993,0,,0,
41260,"לילינבלום 50, אלנבי 126",1988,13/10/1988,0,,0,
41300,"אלנבי 130, יהודה הלוי 45",1980,05/05/1980,1,,0,
60050,יהודה הלוי 5,1992,07/11/1992,3,,-,
60180,יהודה הלוי 18,1974,31/03/1974,,0,3,
60410,יהודה הלוי 41,1981,11/03/1981,,0,2,
60430,יהודה הלוי 43,1978,02/02/1978,0,,-,
60510,יהודה הלוי 51,1989,21/09/1989,6,,2,
60600,"יהודה הלוי 60, מזא""ה 51",1992,31/05/1992,3,,0,
60610,"יהודה הלוי 61, רמח""ל 6",1986,06/08/1986,7,,-,
60630,"יהודה הלוי 65, יפה בצלאל 16, יהודה הלוי 63, רמח""ל 5",1991,13/08/1991,,0,1,
60790,"יהודה הלוי 79, יהודה הלוי 81",1977,13/01/1977,2,,0,
60870,"יהודה הלוי 87, רוטשילד 74, נחמני 32, רוטשילד 76",1993,11/02/1993,,0,2,
60900,unk,1990,,0,,,
60950,יהודה הלוי 95,1990,13/12/1990,3,,2,
60960,"יהודה הלוי 96, החשמונאים 76",1989,18/04/1989,3,,-,
61310,יהודה הלוי 131,1988,16/06/1988,7,,0,
70060,לילינבלום 6,1995,04/02/1995,,1,0,
80140,רוטשילד 14,1991,21/05/1991,8,,-,
80230,רוטשילד 23,1988,01/10/1988,2,,-,
80410,"אחד העם 50, רוטשילד 41, רוטשילד 45, אחד העם 52,",1988,02/02/1988,0,,2,
80470,רוטשילד 47,1996,21/03/1996,2,,0,
80650,"נחמני 30, רוטשילד 65",1978,30/08/1978,,0,3,
80680,"רוטשילד 68, רוטשילד 70",1994,13/04/1994,3,,1,
80780,"נחמני 33, רוטשילד 78",1993,21/09/1993,1,,0,
80831,רוטשילד 83 א,1990,08/02/1990,3,,0,
80940,"רוטשילד 94, המגיד 1",1988,10/05/1988,,0,1,
80960,רוטשילד 96,1993,29/09/1993,3,,3,
81050,רוטשילד 105,1993,30/06/1993,3,,0,
81070,רוטשילד 107,1991,30/04/1991,3,,0,
81080,unk,1985,,0,,,
81090,רוטשילד 109,1992,03/01/1992,,1,3,
81210,רוטשילד 121,1982,27/06/1982,0,,0,
81310,רוטשילד 131,1993,31/05/1993,3,,0,
90120,"הכרמל 12, יעב""ץ 2, הכרמל 14, לפין 1",1981,21/05/1981,3,1,0,
90220,"קלישר 2, הכרמל 22",1991,17/10/1991,8,,0,
90310,"הכרמל 31, רבן גמליאל 25, רבן גמליאל 27, הכרמל 29",1988,28/11/1988,2,,-,
90440,"הכרמל 44, רמב""ם 1",1979,18/11/1979,0,,2,
100050,מונטיפיורי 5,1986,13/03/1986,4,,0,
100370,"מונטיפיורי 37, מונטיפיורי 37 א",1978,13/01/1978,,2,-,
100480,"מונטיפיורי 48, יפה בצלאל 2",1993,08/10/1993,,"0,2,4",3,
110350,"אחד העם 35, יוחנן בן זכאי 12",1993,19/04/1993,,"1,2,4",0,
110430,"אחד העם 43, נחמני 26",1989,25/01/1989,1,,0,
110650,אחד העם 65,1980,02/05/1980,,0,3,
110720,אחד העם 72,1989,13/01/1989,3,,2,
110790,אחד העם 79,1990,05/09/1990,3,,1,
110820,אחד העם 82,1988,28/02/1988,,0,-,
110970,"אחד העם 97, חיים ואלישע 22",1995,07/11/1995,,1,0,
111030,אחד העם 103,1990,20/12/1990,3,,0,
111120,אחד העם 112,1994,07/06/1994,0,,2,
