tik_id,YEAR,additional_year
350500,1996,
1230050,1994,
1990240,1978,
3480160,1978,
10150110,1977,
13142920,1991,
30560050,1977,
36640010,1988,
37190070,1986,
37190160,1977,
38250100,1978,
40010200,1991,
4940600,,
7250080,1976,
8510100,1976,
9540220,1989,
10060230,,
20150080,,
30010010,,
36200080,,
40050,,
50420,,
190410,,
210280,,
220220,,
300050,,
320520,,
540540,,
620120,,
650080,,
690031,,
750290,,
850580,,
1720190,,
1740200,,
1872900,,
1910210,,
1930750,,
2090150,,
2120070,,
2140140,,
2220090,,
2300260,,
2610150,,
2760210,,
2810130,,
2940130,,
3050080,,
3150100,,
3920040,,
4320130,,
4780490,,
4940540,,
5130261,,
5470130,,
5840180,,
6300030,,
6350450,,
8190130,,
8200580,,
8420900,,
8770150,1974,
8980160,,
10210170,,
30040120,,
30080030,,
31370060,,
33420040,,
33890010,,
34240110,,
35060240,,
35160280,,
35470430,,
35700290,,
35950300,,
35970070,,
36260070,,
36730620,,
37930100,,
41760610,,
21030,1997,
270800,1987,
272440,1979,
750300,1997,
1390060,1994,
1400010,1989,
1920050,1991,
1980270,1982,
2100170,1989,
2100240,1977,
5140160,1985,
5180240,1990,
5370110,1974,
6610220,1983,
7030280,1980,
7210030,1979,
7970080,1992,
8020740,1980,
8040380,1974,
8050190,1978,
8080020,1984,
8080070,1997,
8080130,1997,
8080160,1988,
8090150,1984,
8100330,1984,1991
8290060,1985,
8290240,1990,
8310410,1989,
8350220,1989,
8360260,1977,
8380460,1989,
8440070,1990,
8510110,1977,
8540251,1976,
8620020,1977,
8710140,1981,
8780110,1984,
8810040,1992,
8860360,1983,
8970200,1984,
9010320,1979,
9060040,1995,
9090060,1986,
9141180,1996,
9170070,1993,
9370380,1980,
9530030,1990,
9550180,1981,
9610230,1980,
9880040,1996,
9920060,1981,
10120080,1975,
12510100,1981,
12571440,1993,
12690080,1993,
20010310,1986,
21410050,1988,
21520170,1992,
21960080,1977,
32310190,1988,
32350090,1993,
36240030,1991,
36920440,1992,
37040210,1992,
40550170,1985,
40700120,1993,
41500530,1979,
42130110,1986,
48740110,1993,
